"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990715_002.tif","Page","Page 2","2","ark:/21198/z18m6j48","ark:/21198/z11p7893","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11p7893"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990715_003.tif","Page","Page 3","3","ark:/21198/z18m6j48","ark:/21198/z1wx6rxr","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wx6rxr"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990717_001.tif","Page","Page 1","1","ark:/21198/z14v5sdj","ark:/21198/z1s84qj5","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s84qj5"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990717_002.tif","Page","Page 2","2","ark:/21198/z14v5sdj","ark:/21198/z1nh3zxs","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nh3zxs"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990717_003.tif","Page","Page 3","3","ark:/21198/z14v5sdj","ark:/21198/z1hr3779","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hr3779"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990718_001.tif","Page","Page 1","1","ark:/21198/z11351ph","ark:/21198/z1d02gdj","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d02gdj"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990718_002.tif","Page","Page 2","2","ark:/21198/z11351ph","ark:/21198/z1871qmx","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1871qmx"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990718_003.tif","Page","Page 3","3","ark:/21198/z11351ph","ark:/21198/z14g0zw6","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14g0zw6"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990719_001.tif","Page","Page 1","1","ark:/21198/z1wf37jn","ark:/21198/z10q0775","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10q0775"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990719_002.tif","Page","Page 2","2","ark:/21198/z1wf37jn","ark:/21198/z1w18f32","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w18f32"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990719_003.tif","Page","Page 3","3","ark:/21198/z1wf37jn","ark:/21198/z1r87pgp","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r87pgp"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990720_001.tif","Page","Page 1","1","ark:/21198/z1rp2gwt","ark:/21198/z1mh6xrz","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mh6xrz"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990720_002.tif","Page","Page 2","2","ark:/21198/z1rp2gwt","ark:/21198/z1gr660k","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gr660k"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990720_003.tif","Page","Page 3","3","ark:/21198/z1rp2gwt","ark:/21198/z1c05f68","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c05f68"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990721_001.tif","Page","Page 1","1","ark:/21198/z1mx1r6z","ark:/21198/z1774ph0","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1774ph0"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990721_002.tif","Page","Page 2","2","ark:/21198/z1mx1r6z","ark:/21198/z13g3xwm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13g3xwm"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990721_003.tif","Page","Page 3","3","ark:/21198/z1mx1r6z","ark:/21198/z1zt24p7","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zt24p7"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990722_001.tif","Page","Page 1","1","ark:/21198/z1h510jt","ark:/21198/z1v21d14","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v21d14"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990722_002.tif","Page","Page 2","2","ark:/21198/z1h510jt","ark:/21198/z1q90nbv","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q90nbv"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990722_003.tif","Page","Page 3","3","ark:/21198/z1h510jt","ark:/21198/z1kh9wh7","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh9wh7"
